,start_date,end_date,num_stocks,num_industry,num_features,avg_nan_rate,avg_FloatMarketValue
All,20150101,20211231,4752,28,24,0.2151122920719084,13639928823.139437
ZZ1000,20150101,20211231,1847,28,24,0.12180451933626217,6898918565.872198
